House_Age_Years,Distance_From_City_km,House_Size_sqft,Price_USD
1,2,2200,485000
2,3,2150,472000
3,4,2100,460500
4,5,2050,449000
5,6,2000,438500
6,7,1950,429000
7,8,1900,420500
8,9,1850,413000
9,10,1800,406500
10,11,1750,401000
11,12,1700,396500
12,13,1650,393000
13,14,1600,390500
14,15,1550,389000
15,16,1500,388500
16,17,1450,389000
17,18,1400,390500
18,19,1350,393000
19,20,1300,396500
20,21,1250,401000
21,22,1200,406500
22,23,1150,413000
23,24,1100,420500
24,25,1050,429000
25,26,1000,438500
26,27,950,449000
27,28,900,460500
28,29,850,472000
29,30,800,485500
30,31,750,500000
